Font_Size,Font_Name,Flags,Char_Count,Is_Paragraph
48,Georgia,4,29,False
24,OracleSans-ExtraBold,16,27,False
24,OracleSans-Bold,16,323,False
8,OracleSans-Regular,0,53505,True
8,OracleSans-Italic,2,11,False
14,OracleSans-Bold,16,49,False
14,OracleSans-Regular,0,5347,True
18,OracleSans-Bold,16,15,False
14,OracleSans-Bold,17,313,False
10,OracleSans-Regular,0,416059,True
24,OracleSans-Regular,0,8,False
16,OracleSans-Regular,0,931,False
10,OracleSans-Italic,2,1912,True
30,OracleSans-Bold,16,15,False
21,OracleSans-Regular,0,3476,True
10,OracleSans-Bold,16,18878,True
8,OracleSans-Bold,16,6835,True
14,LiberationSans,0,369,False
18,OracleSans-Regular,0,8352,True
8,CourierNewPS-BoldMT,28,704,False
9,OracleSans-Bold,16,143,False
12,OracleSans-Regular,0,1642,True
